CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size,Cluster
1,1,19,15000,39,5,1,4,0
2,1,21,35000,81,2,3,3,0
3,0,20,86000,6,2,1,1,0
4,0,23,59000,77,7,0,2,0
5,0,31,38000,40,3,2,6,2
6,0,22,58000,76,0,0,2,0
7,0,35,31000,6,5,1,3,0
8,0,23,84000,94,5,1,3,0
9,1,64,97000,3,2,0,3,0
10,0,30,98000,72,0,1,4,0
11,1,67,7000,14,2,1,3,0
12,0,35,93000,99,5,4,4,0
13,0,58,80000,15,4,0,5,2
14,0,24,91000,77,7,1,1,0
15,1,37,19000,13,1,0,1,0
16,1,22,51000,79,5,1,2,0
17,0,35,29000,35,6,9,5,1
18,1,20,89000,66,5,1,6,2
19,1,52,20000,29,3,1,4,0
20,0,35,62000,98,0,0,1,0
21,1,35,96000,35,6,12,1,1
22,1,25,4000,73,5,3,4,0
23,0,46,42000,5,0,13,2,1
24,1,31,71000,73,0,5,2,0
25,0,54,67000,14,4,1,3,0
26,1,29,52000,82,0,1,3,0
27,0,45,68000,32,5,9,8,2
28,1,35,78000,61,0,1,3,0
29,0,40,18000,31,0,0,1,0
30,0,23,20000,87,0,5,4,0
31,1,60,39000,4,0,0,3,0
32,0,21,34000,73,1,1,2,0
33,1,53,59000,4,5,1,3,0
34,1,18,62000,92,6,9,7,2
35,0,49,91000,14,7,1,2,0
36,0,21,95000,81,5,3,4,0
37,0,42,14000,17,1,5,1,0
38,0,30,62000,73,5,1,5,2
39,0,36,9000,26,0,8,2,0
40,0,20,69000,75,0,8,2,1
41,0,65,25000,35,0,4,1,0
42,1,24,85000,92,5,0,2,0
43,1,48,22000,36,0,14,3,1
44,0,31,33000,61,0,1,2,0
45,0,49,72000,28,2,8,1,1
46,0,24,3000,65,7,4,2,0
47,0,50,52000,55,0,0,4,0
48,0,27,71000,47,5,12,1,1
49,0,29,78000,42,5,0,4,0
50,0,31,25000,42,2,1,1,0
51,0,49,88000,52,0,1,2,0
52,1,33,97000,60,0,1,2,0
53,0,31,74000,54,0,1,1,0
54,1,59,68000,60,3,0,2,0
55,0,50,18000,45,8,1,1,0
56,1,47,95000,41,0,14,2,1
57,0,51,71000,50,5,9,4,1
58,1,69,8000,46,1,8,2,0
59,0,27,57000,51,0,1,3,0
60,1,53,89000,46,7,1,6,2
61,1,70,84000,56,0,0,2,0
62,1,19,50000,55,0,9,2,1
63,0,67,50000,52,7,0,3,0
64,0,54,48000,59,7,1,2,0
65,1,63,63000,51,7,7,2,0
66,1,18,9000,59,3,0,2,0
67,0,43,3000,50,1,0,2,0
68,0,68,82000,48,0,8,4,1
69,1,19,81000,59,0,0,4,0
70,0,32,97000,47,6,2,2,0
71,1,70,91000,55,5,8,2,1
72,0,47,9000,42,3,8,2,0
73,0,60,44000,49,0,0,5,0
74,0,60,10000,56,5,8,4,1
75,1,59,89000,47,0,0,4,0
76,1,26,49000,54,6,0,3,0
77,0,45,67000,53,1,0,2,0
78,1,40,99000,48,0,4,3,0
79,0,23,97000,52,2,2,2,0
80,0,49,98000,42,9,1,1,0
81,1,57,52000,51,5,0,4,0
82,1,38,61000,55,5,6,3,0
83,1,67,120000,41,0,8,1,1
84,0,46,34000,44,3,8,4,1
85,0,21,24000,57,8,1,3,0
86,1,48,31000,46,5,7,5,1
87,0,55,11000,58,0,0,3,0
88,0,22,55000,55,0,5,2,0
89,0,34,76000,60,3,7,3,1
90,0,50,56000,46,1,0,2,0
91,0,68,46000,55,3,0,3,0
92,1,18,36000,41,0,1,4,0
93,1,48,88000,49,0,1,2,0
94,0,40,31000,40,3,1,2,0
95,0,32,24000,42,0,0,1,0
96,1,24,80000,52,0,10,1,1
97,0,47,2000,47,0,0,1,0
98,0,27,67000,50,0,0,2,0
99,1,48,58000,42,1,1,2,0
100,1,20,80000,49,2,3,3,0
101,0,23,65000,41,0,0,4,0
102,0,49,4000,48,4,1,7,2
103,1,67,98000,59,0,0,3,0
104,1,26,52000,55,4,0,5,0
105,1,49,86000,56,5,10,2,1
106,0,21,82000,42,1,1,2,0
107,0,66,43000,50,6,3,2,0
108,1,54,78000,46,7,1,1,0
109,1,68,13000,43,5,6,5,0
110,1,66,13000,48,5,9,3,1
111,1,65,34000,52,3,4,4,0
112,0,19,25000,54,0,0,1,0
113,0,38,71000,42,1,1,5,2
114,1,19,2000,46,0,1,1,0
115,0,18,97000,48,4,0,3,0
116,0,19,51000,50,4,8,4,1
117,0,63,9000,43,7,1,1,0
118,0,49,79000,59,0,0,2,0
119,0,51,84000,43,9,2,7,2
120,0,50,87000,57,0,1,2,0
121,1,27,36000,56,4,0,3,0
122,0,38,50000,40,4,1,4,0
123,0,40,97000,58,2,9,4,1
124,1,39,6000,91,5,1,3,0
125,0,23,12000,29,3,9,2,1
126,0,31,46000,77,8,1,2,0
127,1,43,89000,35,2,0,7,2
128,1,40,4000,95,0,0,2,0
129,1,59,38000,11,2,0,2,0
130,1,38,64000,75,3,8,5,1
131,1,47,66000,9,4,9,5,1
132,1,39,26000,75,7,0,2,0
133,0,25,41000,34,5,6,4,0
134,0,31,45000,71,0,5,1,0
135,1,20,89000,5,2,1,2,0
136,0,29,92000,88,4,5,5,2
137,0,44,76000,7,0,5,2,0
138,1,32,85000,73,0,3,4,0
139,1,19,22000,10,8,8,4,1
140,0,35,15000,72,0,4,4,0
141,0,57,32000,5,2,0,2,0
142,1,32,66000,93,0,0,5,2
143,0,28,62000,40,1,5,3,0
144,0,32,85000,87,7,1,2,0
145,1,25,71000,12,2,0,5,2
146,1,28,26000,97,8,8,5,1
147,1,48,52000,36,2,9,2,1
148,0,32,38000,74,7,1,1,0
149,0,34,51000,22,5,7,4,1
150,1,34,90000,90,0,6,3,0
151,1,43,30000,17,7,0,9,2
152,1,39,41000,88,2,0,1,0
153,0,44,17000,20,2,0,2,0
154,0,38,92000,76,0,2,2,0
155,0,47,80000,16,5,0,4,0
156,0,27,10000,89,8,8,4,0
157,1,37,16000,1,4,1,1,0
158,0,30,87000,78,0,3,4,0
159,1,34,66000,1,7,1,2,0
160,0,30,86000,73,0,3,3,0
161,0,56,9000,35,0,1,1,0
162,0,29,50000,83,5,1,5,0
163,1,19,35000,5,4,0,5,0
164,0,31,58000,93,5,1,5,0
165,1,50,47000,26,1,0,2,0
166,0,36,54000,75,0,5,3,0
167,1,42,79000,20,6,9,3,1
168,0,33,83000,95,0,0,5,2
169,0,36,57000,27,0,0,3,0
170,1,32,0,63,0,2,2,0
171,1,40,69000,13,0,3,5,2
172,1,28,4000,75,4,0,2,0
173,1,36,79000,10,7,0,2,0
174,1,36,99000,92,0,5,2,0
175,0,52,20000,13,7,0,2,0
176,0,30,28000,86,0,3,4,0
177,1,58,29000,15,2,11,1,1
178,1,27,45000,69,5,2,6,2
179,1,59,86000,14,5,4,3,0
180,1,35,42000,90,2,8,1,0
181,0,37,59000,32,0,7,2,1
